Robot,IP,Status,Version,OS Major,OS Minor,OS Description,Port,Domain
gvecsl6656ipm,10.70.173.56,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6657ipm,10.70.173.57,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6658ipm,10.70.173.58,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6659ipm,10.70.173.59,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6660ipm,10.70.173.60,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6662its,10.70.173.62,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6665ipm,10.70.173.79,OK,"9.20 [Build 9.20.1072, Aug  8 2019]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6666ipm,10.70.173.80,OK,"9.20 [Build 9.20.1072, Aug  8 2019]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6667ipm,10.70.173.81,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6668ipm,10.70.173.82,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6669ipm,10.70.173.83,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6670ipm,10.70.173.84,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6671ipm,10.70.173.85,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6672ipm,10.70.173.86,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6673ipm,10.70.173.87,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6674ipm,10.70.173.88,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6675ipm,10.70.172.145,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-372.13.1.el8_6.x86_64 #1 SMP Mon Jun 6 15:05:22 EDT 2022 x86_64,48000,Givaudan
gvecsl6676ipm,10.70.172.151,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-372.13.1.el8_6.x86_64 #1 SMP Mon Jun 6 15:05:22 EDT 2022 x86_64,48000,Givaudan
gvecsl6680ipm,10.70.172.27,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl6691ips,10.195.35.14,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl6692ips,10.195.35.13,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl6693ips,10.195.35.12,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl6694ips,10.195.35.11,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl6800ips,10.195.34.10,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl6805ips,10.70.172.181,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl6840ids,10.194.227.12,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl6841ips,10.194.85.52,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7050aps,10.70.172.140,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7051aps,10.70.172.141,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7072aps,10.70.172.218,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7101its,10.70.70.189,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-754.48.1.el6.x86_64 #1 SMP Tue Jul 5 16:40:13 EDT 2022 x86_64,48000,Givaudan
gvecsl7104ips,10.70.70.191,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-754.48.1.el6.x86_64 #1 SMP Tue Jul 5 16:40:13 EDT 2022 x86_64,48000,Givaudan
gvecsl7107dts,10.70.172.22,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-220.el6.x86_64 #1 SMP Tue Dec 6 19:48:22 GMT 2011 x86_64,48000,Givaudan
gvecsl7109dts,10.194.84.3,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7110ats,10.194.85.7,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7111ats,10.194.85.4,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7113ats,10.194.85.5,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7114ats,10.194.85.6,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7115ads,10.70.172.36,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-754.11.1.el6.x86_64 #1 SMP Tue Feb 26 15:38:56 UTC 2019 x86_64,48000,Givaudan
gvecsl7115xdx,10.194.85.3,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7117aps,10.70.172.46,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7118ips,10.70.172.6,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7119aps,10.70.172.47,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-754.11.1.el6.x86_64 #1 SMP Tue Feb 26 15:38:56 UTC 2019 x86_64,48000,Givaudan
gvecsl7122aps,10.70.172.50,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7123ads,10.194.228.2,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7129aps,10.70.172.126,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7130aps,10.70.172.127,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7137dps,10.70.172.54,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 2.6.32-754.48.1.el6.x86_64 #1 SMP Tue Jul 5 16:40:13 EDT 2022 x86_64,48000,Givaudan
gvecsl7138aps,10.70.172.71,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7139dps,10.70.172.97,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 4.18.0-425.19.2.el8_7.x86_64 #1 SMP Fri Mar 17 01:52:38 EDT 2023 x86_64,48000,Givaudan
gvecsl7160ads,10.70.172.124,OK,"9.37 [Build 9.37.528, Feb  1 2023]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7161ats,10.70.172.129,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7162ats,10.70.172.130,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7163aps,10.70.172.132,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7164aps,10.70.172.133,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7207ads,10.70.172.43,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 2.6.32-754.48.1.el6.x86_64 #1 SMP Tue Jul 5 16:40:13 EDT 2022 x86_64,48000,Givaudan
gvecsl7209ass,10.70.172.135,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7215aps,10.70.172.148,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7216ads,10.70.172.149,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7217ads,10.70.172.150,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7218ats,10.70.172.1,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7219ats,10.70.172.2,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7220ats,10.70.172.3,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7221aps,10.70.172.4,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7222aps,10.70.172.5,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7223aps,10.70.172.8,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7223ats,10.70.172.199,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7227ass,10.70.172.59,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7230aqs,10.70.172.13,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7231aqs,10.70.172.16,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7232ats,10.70.172.28,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7233ars,10.70.172.98,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7234ars,10.70.172.106,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7235aps,10.70.172.153,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7236aps,10.70.172.154,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7237ads,10.70.172.165,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7238ads,10.70.172.167,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7240ads,10.70.172.155,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7241ats,10.70.172.156,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7242ats,10.70.172.157,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7243ats,10.70.172.158,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7244aps,10.70.172.159,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7245aps,10.70.172.160,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7246aps,10.70.172.161,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7247aps,10.70.172.168,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7250ats,10.70.173.17,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7251ats,10.70.173.18,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7260ads,10.195.21.130,OK,"9.34 [Build 9.34.2004, Dec  7 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7261ats,10.195.21.133,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7262ats,10.195.21.134,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7263aps,10.195.21.131,OK,"9.20HF15 [Build 9.20HF15.1319, May 27 2020]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7264aps,10.195.21.132,OK,"9.20HF15 [Build 9.20HF15.1319, May 27 2020]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7270ass,10.70.172.200,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7271ass,10.70.172.236,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7272ats,10.70.172.143,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
gvecsl7280ass,10.70.172.44,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7281ads,10.70.172.228,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7282ass,10.70.172.234,OK,"9.35 [Build 9.35.240, May 10 2022]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7300aps,10.70.173.8,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7301aps,10.70.173.9,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7302aps,10.70.173.10,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7303aps,10.70.173.131,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl7310aps,10.70.173.11,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7320ats,10.70.172.63,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7321ats,10.70.172.107,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7322ats,10.70.172.139,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7340ads,10.70.172.24,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7341ads,10.70.172.30,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7342ads,10.70.172.176,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7404apy,10.65.206.121,OK,"9.20HF15 [Build 9.20HF15.1319, May 27 2020]",UNIX,Linux,Linux 3.10.0-1160.88.1.el7.x86_64 #1 SMP Sat Feb 18 13:27:00 UTC 2023 x86_64,48000,Givaudan
gvecsl7407aty,10.65.231.103,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7409apy,10.65.222.104,OK,"9.20HF15 [Build 9.20HF15.1319, May 27 2020]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7410dds,10.70.172.76,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 3.10.0-1160.92.1.el7.x86_64 #1 SMP Thu May 18 11:23:40 UTC 2023 x86_64,48000,Givaudan
gvecsl7419aps,10.195.35.10,OK,"9.33 [Build 9.33.1732, Mar 18 2021]",UNIX,Linux,Linux 4.18.0-477.15.1.el8_8.x86_64 #1 SMP Fri Jun 2 08:27:19 EDT 2023 x86_64,48000,Givaudan
